estimator,regime_n,regime_cov,seed,coverage,ci_width
calibrated-dr-cpo,250,0.05,0,75.0,0.21352563963075644
calibrated-dr-cpo,250,0.05,1,75.0,0.1350181626375005
calibrated-dr-cpo,250,0.05,2,75.0,0.25125571591333196
calibrated-dr-cpo,250,0.05,3,75.0,0.25888027964699845
calibrated-dr-cpo,250,0.05,4,75.0,0.15878661640767486
calibrated-dr-cpo,250,0.05,5,75.0,0.13813458942769813
calibrated-dr-cpo,250,0.05,6,75.0,0.1700258566751566
calibrated-dr-cpo,250,0.05,7,75.0,0.11283682854878546
calibrated-dr-cpo,250,0.05,8,75.0,0.1586253820770183
calibrated-dr-cpo,250,0.05,9,75.0,0.1816646935039603
calibrated-dr-cpo,250,0.05,10,75.0,0.16706492383360344
calibrated-dr-cpo,250,0.05,11,100.0,0.1950886064684655
calibrated-dr-cpo,250,0.05,12,75.0,0.16209812996045592
calibrated-dr-cpo,250,0.05,13,75.0,0.1553932634701456
calibrated-dr-cpo,250,0.05,14,75.0,0.17321222462381122
calibrated-dr-cpo,250,0.05,15,75.0,0.1487486331057748
calibrated-dr-cpo,250,0.05,16,75.0,0.1287997852573215
calibrated-dr-cpo,250,0.05,17,75.0,0.16614499110412562
calibrated-dr-cpo,250,0.05,18,75.0,0.21062257317036273
calibrated-dr-cpo,250,0.05,19,75.0,0.11773163688481031
calibrated-dr-cpo,250,0.05,20,75.0,0.19179922684350809
calibrated-dr-cpo,250,0.05,21,100.0,0.28945631221995094
calibrated-dr-cpo,250,0.05,22,75.0,0.15357969126341503
calibrated-dr-cpo,250,0.05,23,75.0,0.14436293221611418
calibrated-dr-cpo,250,0.05,24,100.0,0.2106557290170243
calibrated-dr-cpo,250,0.05,25,75.0,0.128424774573202
calibrated-dr-cpo,250,0.05,26,100.0,0.2542276327065094
calibrated-dr-cpo,250,0.05,27,75.0,0.17321486558149501
calibrated-dr-cpo,250,0.05,28,75.0,0.183562187805911
calibrated-dr-cpo,250,0.05,29,100.0,0.19164506275842255
calibrated-dr-cpo,250,0.05,30,75.0,0.13831955510675623
calibrated-dr-cpo,250,0.05,31,75.0,0.15121979511977504
calibrated-dr-cpo,250,0.05,32,75.0,0.15546520215036658
calibrated-dr-cpo,250,0.05,33,75.0,0.16058321184673557
calibrated-dr-cpo,250,0.05,34,75.0,0.28541824153350304
calibrated-dr-cpo,250,0.05,35,75.0,0.16051896859092193
calibrated-dr-cpo,250,0.05,36,75.0,0.2347402011398546
calibrated-dr-cpo,250,0.05,37,75.0,0.21627856853752353
calibrated-dr-cpo,250,0.05,38,75.0,0.1465871937869187
calibrated-dr-cpo,250,0.05,39,75.0,0.17153191904336285
